FLA,Florida Panthers
OAK,Oakland Seals
PIT,Pittsburgh Penguins
QBD,Quebec Bulldogs
SLE,St. Louis Eagles
ATL,Atlanta Thrashers
NYI,New York Islanders
HAM,Hamilton Tigers
MTL,Montreal Canadiens
NYA,New York Americans
MMR,Montreal Maroons
STL,St. Louis Blues
WIN,Winnipeg Jets (1979)
QUE,Quebec Nordiques
LAK,Los Angeles Kings
TOR,Toronto Maple Leafs
EDM,Edmonton Oilers
HFD,Hartford Whalers
PHI,Philadelphia Flyers
CGY,Calgary Flames
AFM,Atlanta Flames
VGK,Vegas Golden Knights
WPG,Winnipeg Jets
CLR,Colorado Rockies
BRK,Brooklyn Americans
DAL,Dallas Stars
MIN,Minnesota Wild
BUF,Buffalo Sabres
OTT,Ottawa Senators
SEN,Ottawa Senators (1917)
DET,Detroit Red Wings
PIR,Pittsburgh Pirates
WSH,Washington Capitals
CAR,Carolina Hurricanes
SJS,San Jose Sharks
NSH,Nashville Predators
CHI,Chicago Blackhawks
MWN,Montreal Wanderers
DFL,Detroit Falcons
TAN,Toronto Arenas
QUA,Philadelphia Quakers
DCG,Detroit Cougars
VAN,Vancouver Canucks
BOS,Boston Bruins
COL,Colorado Avalanche
TBL,Tampa Bay Lightning
MNS,Minnesota North Stars
NJD,New Jersey Devils
TSP,Toronto St. Patricks
ARI,Arizona Coyotes
CGS,California Golden Seals
ANA,Anaheim Ducks
KCS,Kansas City Scouts
CBJ,Columbus Blue Jackets
NYR,New York Rangers
PHX,Phoenix Coyotes
CLE,Cleveland Barons
